Rank,Team_Code,Team,Total_Points
133,SWZ,Swaziland,227
134,TPE,Chinese Taipei,225
135,LBR,Liberia,224
136,KAZ,Kazakhstan,223
137,ETH,Ethiopia,221
138,EQG,Equatorial Guinea,213
139,ATG,Antigua and Barbuda,212
140,YEM,Yemen,211
141,ANG,Angola,210
142,BDI,Burundi,203
142,MYA,Myanmar,203
144,LES,Lesotho,193
145,HKG,Hong Kong,190
146,TAN,Tanzania,186
147,LTU,Lithuania,182
148,AFG,Afghanistan,176
149,BOT,Botswana,173
150,MDV,Maldives,161
151,SOL,Solomon Islands,152
152,BRB,Barbados,151
153,TAH,Tahiti,149
154,SSD,South Sudan,148
155,NCL,New Caledonia,146
156,VAN,Vanuatu,141
157,SUR,Suriname,140
158,MRI,Mauritius,134
159,GUY,Guyana,126
159,PNG,Papua New Guinea,126
159,GRN,Grenada,126
162,IDN,Indonesia,123
163,DOM,Dominican Republic,121
164,GAM,Gambia,120
165,NEP,Nepal,116
166,PUR,Puerto Rico,112
166,DMA,Dominica,112
168,FIJ,Fiji,110
168,CHA,Chad,110
170,MDA,Moldova,105
171,SIN,Singapore,103
171,CAM,Cambodia,103
173,KUW,Kuwait,101
173,LCA,St Lucia,101
175,VIN,St Vincent and the Grenadines,100
176,KVX,Kosovo,97
177,BLZ,Belize,96
178,MAS,Malaysia,95
179,STPSão Tomé e Príncipe,94,94
180,ARU,Aruba,92
181,LIE,Liechtenstein,91
182,CUB,Cuba,88
183,LAO,Laos,82
184,BER,Bermuda,78
185,MLT,Malta,68
186,MAC,Macau,65
187,DJI,Djibouti,64
188,BHU,Bhutan,63
189,MNG,Mongolia,49
190,TLSTimor-Leste,44,44
191,SEY,Seychelles,43
191,GUM,Guam,43
193,BRU,Brunei Darussalam,39
194,COK,Cook Islands,38
194,SAM,Samoa,38
194,ASA,American Samoa,38
197,BAN,Bangladesh,31
198,VIR,US Virgin Islands,26
199,MSR,Montserrat,20
200,SRI,Sri Lanka,16
201,TCA,Turks and Caicos Islands,13
201,CAY,Cayman Islands,13
203,PAK,Pakistan,12
204,SMR,San Marino,11
205,VGB,British Virgin Islands,6
206,BAH,Bahamas,0
206,GIB,Gibraltar,0
206,TGA,Tonga,0
206,ERI,Eritrea,0
206,SOM,Somalia,0
206,AIA,Anguilla,0
